market,date_started,week_end_date,price_per_quintal,year,month
Achalda APMC,2025-11-09,2025-11-15,2189.55,2025,11
Achnera APMC,2025-11-09,2025-11-15,2150.67,2025,11
Agra APMC,2025-11-09,2025-11-15,2023.86,2025,11
Ahirora APMC,2025-11-09,2025-11-15,1547.04,2025,11
Ajuha APMC,2025-11-09,2025-11-15,,2025,11
Akbarpur APMC,2025-11-09,2025-11-15,2228.86,2025,11
Aligarh APMC,2025-11-09,2025-11-15,2369.3,2025,11
Allahabad APMC,2025-11-09,2025-11-15,,2025,11
Amroha APMC,2025-11-09,2025-11-15,1871.28,2025,11
Anandnagar APMC,2025-11-09,2025-11-15,,2025,11
Anoop Shahar APMC,2025-11-09,2025-11-15,2353.33,2025,11
Anwala APMC,2025-11-09,2025-11-15,,2025,11
Atarra APMC,2025-11-09,2025-11-15,,2025,11
Auraiya APMC,2025-11-09,2025-11-15,2069.3,2025,11
Awagarh APMC,2025-11-09,2025-11-15,2179.31,2025,11
Azamgarh APMC,2025-11-09,2025-11-15,2069.47,2025,11
Bachranwa APMC,2025-11-09,2025-11-15,2105.25,2025,11
Badayoun APMC,2025-11-09,2025-11-15,,2025,11
Bagpat APMC,2025-11-09,2025-11-15,,2025,11
Bahraich APMC,2025-11-09,2025-11-15,2505.88,2025,11
Ballia APMC,2025-11-09,2025-11-15,2019.91,2025,11
Balrampur APMC,2025-11-09,2025-11-15,2569.93,2025,11
Banda APMC,2025-11-09,2025-11-15,2267.0,2025,11
Bangarmau APMC,2025-11-09,2025-11-15,2136.11,2025,11
Barabanki APMC,2025-11-09,2025-11-15,,2025,11
Baraut APMC,2025-11-09,2025-11-15,2000.27,2025,11
Bareilly APMC,2025-11-09,2025-11-15,2256.67,2025,11
Basti APMC,2025-11-09,2025-11-15,2550.0,2025,11
Bewar APMC,2025-11-09,2025-11-15,,2025,11
Bharthna APMC,2025-11-09,2025-11-15,1624.94,2025,11
Bharuasumerpur APMC,2025-11-09,2025-11-15,2100.0,2025,11
Bharwari APMC,2025-11-09,2025-11-15,,2025,11
Bhinga APMC,2025-11-09,2025-11-15,2629.69,2025,11
Bijnaur APMC,2025-11-09,2025-11-15,1780.0,2025,11
Bilsi APMC,2025-11-09,2025-11-15,,2025,11
Bindki APMC,2025-11-09,2025-11-15,2052.18,2025,11
Buland Shahr APMC,2025-11-09,2025-11-15,2246.97,2025,11
Chaandpur APMC,2025-11-09,2025-11-15,,2025,11
Chandausi APMC,2025-11-09,2025-11-15,1940.73,2025,11
Chandoli APMC,2025-11-09,2025-11-15,2010.69,2025,11
Charra APMC,2025-11-09,2025-11-15,3050.0,2025,11
Chhibramau APMC,2025-11-09,2025-11-15,,2025,11
Chirgaon APMC,2025-11-09,2025-11-15,2008.33,2025,11
Chitwadagaon APMC,2025-11-09,2025-11-15,2258.4,2025,11
Chorichora APMC,2025-11-09,2025-11-15,,2025,11
Choubepur APMC,2025-11-09,2025-11-15,1695.56,2025,11
Chutmalpur APMC,2025-11-09,2025-11-15,,2025,11
Dadri APMC,2025-11-09,2025-11-15,1850.0,2025,11
Dankaur APMC,2025-11-09,2025-11-15,1848.04,2025,11
Deoband APMC,2025-11-09,2025-11-15,,2025,11
Devariya APMC,2025-11-09,2025-11-15,2610.0,2025,11
Dhanaura APMC,2025-11-09,2025-11-15,,2025,11
